GENERIC,INDICATION,"CLASSIFICATION,FORM, STRENGTH",ADE,DRUGINTERACTION,"PRECAUTION, CONTRAINDICATION, PREGNANCY CATEGORY","DOSAGE REGIMEN, FOOD INTAKE"
cefteram,"<Indicated bacteria>
Cefteram-susceptible bacteria; Streptococcus sp., Streptococcus
pneumoniae, Neisseria gonorrhoeae, Escherichia coli,
Citrobacter sp., Klebsiella sp., Enterobacter sp., Serratia sp.,
Proteus sp., Morganella morganii, Providencia sp., Haemophilus
influenzae, and Peptostreptococcus sp.
<Indications>
_ Pharyngitis/laryngitis, tonsillitis (including peritonsillitis
and peritonsillar abscess), acute bronchitis, pneumonia,
and secondary infections in chronic respiratory lesion
_ Cystitis, pyelonephritis and urethritis
_ Bartholinitis, intrauterine infection and uterine adnexitis
_ Otitis media and sinusitis
_ Periodontitis, pericoronitis and gnathitis ",cephalosphorin,"Adverse Reactions
Adverse reactions (including abnormal laboratory data) to
the drug were reported in 213 (6.57%) of 3,240 patients
who had been observed at time of approval. And they were
reported in 104 (0.77%) of 13,463 patients who had been
observed during the 6 years after approval (June 1987 to
June 1993).
Adverse reactions to the drug were reported in 317 (1.90%)
of 16,703 patients at completion of reexamination. A total
of 456 cases of adverse reactions were reported. The major
adverse reactions were diarrhoea in 54 cases (0.32%), rash
in 24 cases (0.14%), anorexia in 19 cases (0.11%), stomach
discomfort in 19 cases (0.11%), increased ALT (GPT) in
81 cases (0.48%), increased AST (GOT) in 70 cases
(0.42%), and eosinophilia in 29 cases (0.17%).
Adverse reactions with unknown incidence developed after
approval are also included in the data presented in this section.
(1) Clinically significant adverse reactions
 1) Shock and anaphylactoid reactions (including
dyspnoea, etc.) (incidence unknown) may develop.
The patients should be carefully monitored. If any
signs of shock or anaphylactoid reactions are observed,
administration should be discontinued and
appropriate therapeutic measures should be taken.
 2) Toxic epidermal necrolysis (Lyell syndrome) and
Mucocutaneous ocular syndrome (Stevens-Johnson
syndrome) (incidence unknown) may
develop. The patients should be carefully monitored.
If any signs of these syndromes are observed, administration
should be discontinued and appropriate
therapeutic measures should be taken.
 3) Serious nephropathy such as acute renal failure
(incidence unknown) may develop. The patients
should be carefully monitored, and periodic renal
function tests should be performed. If any abnormal
findings are observed, administration should be discontinued
and appropriate therapeutic measures
should be taken.
 4) Serious colitis with bloody stool such as pseudomembranous
colitis (incidence unknown) may
develop. If abdominal pain or frequent diarrhoea is
observed, appropriate therapeutic measures, such as
immediate discontinuing administration, should be
taken.
 5) Hepatic function disorder and jaundice (incidence
unknown) may develop. The patients should be carefully
monitored. If any abnormal findings are observed,
administration should be discontinued and
appropriate therapeutic measures should be taken.
 6) Agranulocytosis and thrombocytopenia (incidence
unknown) may develop. The patients should be carefully
monitored. If any abnormal findings are observed,
administration should be discontinued and
appropriate therapeutic measures should be taken.
(2) Clinically significant adverse reactions (similar
drugs)
 1) Hemolytic anemia has been reported in patients
treated with other cephem antibiotics (cefalotin sodium,
cefaloridine, etc.). If any abnormal findings are
observed, appropriate therapeutic measures, such as
discontinuing administration, should be taken.
 2) Interstitial pneumonia and PIE syndrome with
fever, cough, dyspnea, chest X-ray abnormalities,
and eosinophilia have been reported in patients
treated with other cephem antibiotics. If such symptoms
are observed, administration should be discontinued
and appropriate therapeutic measures, such as
administration of adrenocortical hormones, should be
taken. ",," PRECAUTIONS 
1.Careful Administration (TOMIRON© should be administered with care in the following patients.) (1) Patients with a history of hypersensitivity to penicillin antibiotics [Patients should be interviewed carefully because shock may develop.] (2) Patients who or whose parents or siblings have a predisposition to develop allergic reactions such as bronchial asthma, rash and urticaria. [The patient with allergic predisposition should be carefully interviewed because he/she is more likely to develop hypersensitivity.] (3) Patients with severe renal dysfunction [Persistently elevated blood concentrations may develop. (See _PHARMACOKINETICS_ section.)] (4) Patients with poor oral food intake or who are receiving parenteral alimentation, and patients in poor general health. [Patients who are unable to take vitamin K through food should be observed carefully because vitamin K deficiency may develop. (See _(3) Other adverse reactions_ in _3. Adverse Reactions_ section.)] (5) Elderly patients (See _4. Use in the Elderly_ section.)
CONTRAINDICATIONS 
 Patients with a history of shock due to any of the ingredients of the product
PREGNANCY CATEGORY 
B","DOSAGE AND ADMINISTRATION
For pharyngitis/laryngitis, tonsillitis (including peritonsillitis
and peritonsillar abscess), acute bronchitis, cystitis, pyelonephritis,
bartholinitis, intrauterine infection and uterine
adnexitis: The usual adult dosage for oral use is 150 _ 300 mg
(potency) of cefteram pivoxil daily in 3 divided doses after
meals.
For pneumonia, secondary infections in chronic respiratory lesion,
urethritis, otitis media, sinusitis, periodontitis, pericoronitis
and gnathitis: The usual adult dosage for oral use is 300 _
600 mg (potency) of cefteram pivoxil daily in 3 divided doses
after meals.
The dosage may be adjusted according to the patient's age and
condition. 
"
CEFTIBUTEN,Resp tract infections.,"cephalosphorins,tablet","Nausea, diarrhoea, melaena, dyspepsia, vomiting, abdominal pain; headache, dizziness; increased eosinophils, platelets, ALT, bilirubin or BUN, decreased Hb; Stevens-Johnson syndrome.
Potentially Fatal: Pseudomembranous colitis.",Enhanced nephrotoxicity of aminoglycosides. Increased serum concentration w/ probenecid. Decreased serum concentration w/ zinc salts. ,"Precaution
Patient w/ history of penicillin allergy, history of colitis and other GI diseases. Renal impairment. Pregnancy and lactation.
Contraindication
Hypersensitivity to ceftibuten and other cephalosporins.
Pregnancy Category 
Category B","Dosage
Adult :ÿPOÿ400 mg once daily for 10 days.
Food Intake
Food decreases rate and extent of absorption."
cefdinir,Susceptible infections.,"Classification
Cephalosphorins
Dosage form and strength
Orcef-DS powd for oral susp 125 mg/5 mL","Diarrhea, nausea, vag infection & rash. ",Renal excretion may be inhibited w/ probenecid,"Precaution
Patient w/ history of penicillin allergy and colitis. Renal impairment. Childn. Pregnancy and lactation.
Contraindication
Hypersensitivity to cefdinir or other cephalosporins.
Pregnancy Category
Category B","Dosage regimen
Oral
Susceptible infections
Adult:ÿ600 mg daily as a single or in 2 divided doses for 5-10 days.
Child:ÿ_6 mthÿ14 mg/kg daily as a single or in 2 divided doses. Max: 600 mg daily.
Food Intake
May take with or without food"
cefditoren,"Susceptible infections,Uncomplicated UTI,Uncomplicated gonorrhoea.","Classification
Cephalosphorins
Form and strength
Tablet, 200/400 mg","Diarrhoea, nausea, headache, abdominal pain, vag moniliasis, dyspepsia, vomiting, haematuria, increased urine WBC, glucose or INR, decreased haematocrit.
Potentially Fatal: Hypersensitivity, Stevens-Johnson syndrome, toxic epidermal necrolysis, Clostridium difficile-associated diarrhoea and colitis.",Decreased absorption w/ antacids or H2-receptor antagonists. Increased plasma concentrations w/ probenecid. ,"Precaution
Patient w/ history of penicillin allergy and seizure disorder; poor nutritional status. Hepatic or renal impairment. Pregnancy and lactation.
Contraindication
Hypersensitivity to cefditoren, other cephalosporins, or milk proteins. Carnitine deficiency or an inborn error of metabolism.
Pregnancy Category
B","Dosage regimen
Oral
Pharyngitis, Tonsillitis, Uncomplicated skin and skin structure infections
Adult:ÿ200 mg bid for 10 days.
Oral
Community-acquired pneumonia
Adult:ÿ400 mg bid for 14 days.
Oral
Acute bacterial exacerbation of chronic bronchitis
Adult:ÿ400 mg bid for 10 days.
Food intake
Should be taken with food."
cefetamet,Susceptible infections.,"Classification
Cephalosphorins
Form and strength
Tablet 500mg
","Diarrhoea, nausea, vomiting, hypersensitivity reactions.",,"Precaution
Hypersensitivity to penicillins. Renal insufficiency; lactation.
Contraindication
Known hypersensitivity to cephalosporins.
Pregnancy category
B","Dosage Regimen
Oral
Ear, nose and/or throat infections, Otitis media, Sinusitis, Pharyngo-tonsillitis, Lower respiratory tract infections, Acute bacterial exacerbation of chronic bronchitis, Tracheobronchitis, Pneumonia, Urinary tract infections, Gonococcal urethritis in men
Adult:ÿ500 mg bid.
Food Intake
May take with or without food"
Cefixime,"Treatment of susceptible infections including gonorrhea, otitis media, pharyngitis, lower resp tract (eg bronchitis) & UTI.","Classification
Cephalosphorins
Form and strength
cap 200 mg","Diarrhea, stool changes; nausea, abdominal pain, dyspepsia, vomiting, flatulence. Pseudomembranous colitis. Headache, dizziness; rash, pruritus, urticaria, drug fever, arthralgia. Thrombocytopenia, leukopenia & eosinophilia.",Increased prothrombin time (w/ or w/o bleeding) w/ anticoagulants (e.g. warfarin). Increased plasma carbamazepine concentrations w/ concomitant use. Increased bioavailability w/ nifedipine. Increased serum concentration w/ probenecid. ,"Precaution
Patient w/ history of penicillin allergy. Renal impairment. Childn. Pregnancy and lactation.
Contraindication
Hypersensitivity to cefixime and other cephalosporins.
Pregnancy Category
B",Delayed absorption in the presence of food.
cefmenoxime,Susceptible infections.,"Classification
Cephalosphorin
Form and strength
","Nausea; vomiting; diarrhoea; hypersensitivity reactions; nephrotoxicity; convulsions; CNS toxicity; hepatic dysfunction; haematologic disorders; pain at Inj site (IM); thrombophloebitis (IV infusion); superinfection with prolonged use.
Potentially Fatal: Pseudomembranous colitis.",Renal clearance reduced by probenecid. Disulfiram-like reactions with alcohol.,"Precaution
Hypersensitivity to penicillins; renal impairment; porphyria. Monitor renal and hematologic status. Pregnancy and lactation.
Contraindication
Hypersensitivity to cephalosporins.
Pregnancy Category
B","Dosage Regimen
Parenteral
Susceptible infections
Adult:ÿ1-4 g daily IM/IV by Inj or infusion in 2-4 divided doses, up to 9 g daily for severe infections.
Child:ÿ40-80 mg/kg/day in 2-4 divided doses, higher doses may be used in severe infections. Neonates: 40-60 mg/kg/day in 2-3 divided doses.
Food intake
May take with or without food"
Cefodizime,Lower resp tract infections and UTI infections,Injection 1g,Nausea; vomiting; diarrhoea; hypersensitivity reactions; nephrotoxicity; convulsions; CNS toxicity; pseudomembranous colitis; hepatic dysfunction; haematologic disorders; pain at inj site (IM); thrombophloebitis (IV infusion); superinfection with prolonged use.,Renal clearance reduced by probenecid. Disulfiram-like reactions with alcohol.,"Precaution
Hypersensitivity to penicillins; renal impairment; porphyria. Monitor renal and haematologic status. Pregnancy, lactation.
Contraindication
Hypersensitivity to cephalosporins.
Pregnancy category
B","Dosage regimen
Parenteral
Lower respiratory tract infections, Urinary tract infections
Adult:ÿ1-2 g every 12 or 24 hr via IM or IV infusion. Up to 4 g/day may be used in severe infections.
Parenteral
Gonorrhoea
Adult:ÿ0.25-0.5 g as a single dose given by IM or IV infusion.
Food intake
May take with or withou foodt"
Cefotaxime,"ÿSusceptible infectionsÿ,ÿSepticaemia,ÿSurgical prophylaxis,Gonorrhoea","Classification
Cephalosphorins
Form and strength
Injection 1g","Rash (maculopapular or erythematous), pruritus, fever, eosinophilia; inflammation, phlebitis, thrombophlebitis (IV); pain, induration, tenderness at inj site (IM); anorexia, diarrhoea, nausea, vomiting, abdominal pain; transient neutropenia, granulocytopenia, leucopenia, eosinophilia or thrombocytopenia; transient increases in BUN and/or serum creatinine concentrations and interstitial nephritis; hepatitis, jaundice, cholestasis; transient increases in serum AST, ALT, LDH, _-GT, bilirubin, and alkaline phosphatase concentrations; headache, agitation, confusion, fatigue, nocturnal perspiration. Stevens-Johnson syndrome, toxic epidermal necrolysis, erythema multiforme.
Potentially Fatal: Clostridium difficile-associated diarrhoea and colitis, arrhythmias, anaphylaxis.",Increased risk of nephrotoxicity w/ aminoglycosides. Increased serum concentration w/ probenecid. ,"Precautions
Patient w/ history of penicillin allergy and colitis. Renal impairment. Childn. Pregnancy and lactation.
Contraindication
Hypersensitivity to cefotaxime or other cephalosporins.
Pregnancy category
B
","Dosage regimen
Parenteral
Prophylaxis of surgical infections
Adult:ÿ1 g 30-90 min before surgery by deep IM, slow IV inj over 3-5 min or IV infusion over 20-60 min. Caesarean section: 1 g IV as soon as the umbilical cord is clamped and 2 further IM or IV doses 6-12 hr later.
Parenteral
Septicaemia
Adult:ÿUp to 6-8 g daily in 3-4 divided doses by deep IM, slow IV inj over 3-5 min or IV infusion over 20-60 min.
Parenteral
Bone and joint infections, Central nervous system infections, Genitourinary infections, Gynaecological infections, Intra-abdominal infections, Respiratory tract infections, Skin and skin structure infections
Adult:ÿ1-2 g 8-12 hrly depending on the severity of the infection. May be given via deep IM inj, slow IV inj over 3-5 min or by IV infusion over 20-60 min. Max: 12 g daily.
Child:ÿ0-1 wkÿ50 mg/kg/dose 12 hrly IV inj;ÿ>1-4 wkÿ50 mg/kg/dose 8 hrly IV inj;ÿ1 mth to 12 yrÿ<50 kg: 50-180 mg/kg IM or IV inj in 4-6 divided doses.
Parenteral
Gonorrhoea
Adult:ÿ0.5 or 1 g as a single dose by deep IM, slow IV inj over 3-5 min or IV infusion over 20-60 min.
Food Intake
May take with or without food"
Cefpodoxime,"Resp tract infections; UTI,ÿSkin and soft tissue infections,ÿUncomplicated gonorrhoeaÿ","Classification
Cephalosporins
Form and strength
Tablet 200/400 mg","Diarrhoea, nausea, abdominal pain, vomiting, diaper and skin rash, headache, vag infection. Anxiety, chest pain, cough, decreased appetite, dizziness, dysgeusia, epistaxis, eye pruritus, fatigue, fever, flatulence, flushing, fungal skin infection, hypotension, insomnia, malaise, nightmares, pruritus, purpuric nephritis, tinnitus, weakness, xerostomia, vulvovaginal candidiasis.
Potentially Fatal: Anaphylaxis, Clostridium difficile-associated diarrhoea and colitis.",Antacids or H2-blockers may decrease the absorption of cefpodoxime. Reduced renal excretion w/ probenecid. ,"Precaution
Patient w/ history of penicillin allergy. Renal impairment. Childn. Pregnancy and lactation.
Contraindication
Hypersensitivity to cefpodoxime or other cephalosporins.
Pregnancy category
B","Dosage regimen
Oral
Acute otitis media
Child:ÿ_15 daysÿ4 mg/kg 12 hrly. Max: 200 mg daily.
Oral
Skin and soft tissue infections
Adult:ÿ200-400 mg 12 hrly.
Child:ÿ_15 daysÿ4 mg/kg 12 hrly. Max: 200 mg daily.
Oral
Respiratory tract infections, Urinary tract infections
Adult:ÿ100-200 mg 12 hrly.
Child:ÿ_15 daysÿ4 mg/kg 12 hrly. Max: 200 mg daily.
Oral
Uncomplicated gonorrhoea
Adult:ÿ200 mg as a single dose.
Food intake
Cefpodoxime levels may be increased w/ food."
