GENERIC,INDICATION,CLASSIFICATION,FORM AND STRENGTH,ADE,DRUGINTERACTION,PRECAUTION,CONTRAINDICATION,PREGNANCY CATEGORY,DOSAGE REGIMEN,FOOD INTAKE
cefteram,"Pharyngitis/laryngitis, tonsillitis (including peritonsillitis and peritonsillar abscess), acute bronchitis, pneumonia, and secondary infections in chronic respiratory lesion. Cystitis, pyelonephritis and urethritis, Bartholinitis, intrauterine infection and uterine adnexitis, Otitis media and sinusitis, Periodontitis, pericoronitis and gnathitis.",3rd GENERATION CEPHALOSPORIN,TABLET - 50 MG AND 100 MG,"Adverse reactions (including abnormal laboratory data) to the drug were reported in 213 (6.57%) of 3,240 patients who had been observed at time of approval. And they were reported in 104 (0.77%) of 13,463 patients who had been observed during the 6 years after approval (June 1987 to June 1993). Adverse reactions to the drug were reported in 317 (1.90%) of 16,703 patients at completion of reexamination. A total of 456 cases of adverse reactions were reported. The major adverse reactions were diarrhoea in 54 cases (0.32%), rash in 24 cases (0.14%), anorexia in 19 cases (0.11%), stomach discomfort in 19 cases (0.11%), increased ALT (GPT) in 81 cases (0.48%), increased AST (GOT) in 70 cases (0.42%), and eosinophilia in 29 cases (0.17%). Adverse reactions with unknown incidence developed after approval are also included in the data presented in this section. (1) Clinically significant adverse reactions * 1) Shock and anaphylactoid reactions (including dyspnoea, etc.) (incidence unknown) may develop. The patients should be carefully monitored. If any signs of shock or anaphylactoid reactions are observed  administration should be discontinued and appropriate therapeutic measures should be taken. * 2) Toxic epidermal necrolysis (Lyell syndrome) and Mucocutaneous ocular syndrome (Stevens-Johnson syndrome) (incidence unknown) ma develop. The patients should be carefully monitored. If any signs of these syndromes are observed, administration should be discontinued and appropriate therapeutic measures should be taken. *3) Serious nephropathy such as acute renal failure (incidence unknown) may develop. The patients should be carefully monitored, and periodic renal function tests should be performed. If any abnormal findings are observed, administration should be discontinued and appropriate therapeutic measures should be taken. 4) Serious colitis with bloody stool such as pseudomembranous colitis (incidence unknown) may develop. If abdominal pain or frequent diarrhoea is observed, appropriate therapeutic measures, such as immediate discontinuing administration, should be taken. * 5) Hepatic function disorder and jaundice (incidence unknown) may develop. The patients should be carefully monitored. If any abnormal findings are observed, administration should be discontinued and appropriate therapeutic measures should be taken. * 6) Agranulocytosis and thrombocytopenia (incidence unknown) may develop. The patients should be carefully monitored. If any abnormal findings are observed, administration should be discontinued and appropriate therapeutic measures should be taken. (2) Clinically significant adverse reactions (similar drugs) * 1) Hemolytic anemia has been reported in patients treated with other cephem antibiotics (cefalotin sodium, cefaloridine, etc.). If any abnormal findings are observed, appropriate therapeutic measures, such as discontinuing administration, should be taken. * 2) Interstitial pneumonia and PIE syndrome with fever, cough, dyspnea, chest X-ray abnormalities, and eosinophilia have been reported in patients treated with other cephem antibiotics. If such symptoms are observed, administration should be discontinued and appropriate therapeutic measures, such as administration of adrenocortical hormones, should be taken. ",Bacteriostatic antibiotics. Probenecid.,"Careful Administration to patients with a history of hypersensitivity to penicillin antibiotics [Patients should be interviewed carefully because shock may develop.] Patients who or whose parents or siblings have a predisposition to develop allergic reactions such as bronchial asthma, rash and urticaria. [The patient with allergic predisposition should be carefully interviewed because he/she is more likely to develop hypersensitivity.]. Patients with severe renal dysfunction [Persistently elevated blood concentrations may develop]. Patients with poor oral food intake or who are receiving parenteral alimentation, and patients in poor general health. [Patients who are unable to take vitamin K through food should be observed carefully because vitamin K deficiency may develop.] and elderly patients.",Patients with a history of shock due to any of the ingredients of the product.,B,"For pharyngitis/laryngitis, tonsillitis (including peritonsillitis and peritonsillar abscess), acute bronchitis, cystitis, pyelonephritis, bartholinitis, intrauterine infection and uterine adnexitis: The usual adult dosage for oral use is 150 _ 300 mg (potency) of cefteram pivoxil daily in 3 divided doses after meals. For pneumonia, secondary infections in chronic respiratory lesion, urethritis, otitis media, sinusitis, periodontitis, pericoronitis and gnathitis: The usual adult dosage for oral use is 300 _ 600 mg (potency) of cefteram pivoxil daily in 3 divided doses after meals. The dosage may be adjusted according to the patient's age and condition. ",May be taken with or without food: May be taken w/ meals to reduce GI discomfort.
CEFTIBUTEN,Resp tract infections.,3rd GENERATION CEPHALOSPORIN,"400mg capsule, 90mg/5ml and 180mg/5ml oral suspesion","Nausea, diarrhoea, melaena, dyspepsia, vomiting, abdominal pain; headache, dizziness; increased eosinophils, platelets, ALT, bilirubin or BUN, decreased Hb; Stevens-Johnson syndrome. Potentially Fatal: Pseudomembranous colitis.",Enhanced nephrotoxicity of aminoglycosides. Increased serum concentration w/ probenecid. Decreased serum concentration w/ zinc salts. ,"Patient w/ history of penicillin allergy, history of colitis and other GI diseases. Renal impairment. Pregnancy and lactation.",Hypersensitivity to ceftibuten and other cephalosporins.,B,Adult :æPOæ400 mg once daily for 10 days.,Food decreases rate and extent of absorption.
cefdinir,Susceptible infections.,3rd GENERATION CEPHALOSPORIN,Powder for oral suspension: 125 mg/5 mL,"Diarrhea, nausea, vag infection & rash. ",Renal excretion may be inhibited w/ probenecid,Patient w/ history of penicillin allergy and colitis. Renal impairment. Childn. Pregnancy and lactation.,Hypersensitivity to cefdinir or other cephalosporins.,B,Susceptible infections Adult:æ600 mg daily as a single or in 2 divided doses for 5-10 days. Child:æ_6 mthæ14 mg/kg daily as a single or in 2 divided doses. Max: 600 mg daily.,May be taken with or without food: May be taken w/ meals to reduce GI discomfort.
cefditoren,"Susceptible infections,Uncomplicated UTI,Uncomplicated gonorrhoea.",3rd GENERATION CEPHALOSPORIN,Tablet: 200 and 400 mg,"Diarrhoea, nausea, headache, abdominal pain, vag moniliasis, dyspepsia, vomiting, haematuria, increased urine WBC, glucose or INR, decreased haematocrit. Potentially Fatal: Hypersensitivity, Stevens-Johnson syndrome, toxic epidermal necrolysis, Clostridium difficile-associated diarrhoea and colitis.",Decreased absorption w/ antacids or H2-receptor antagonists. Increased plasma concentrations w/ probenecid. ,Patient w/ history of penicillin allergy and seizure disorder; poor nutritional status. Hepatic or renal impairment. Pregnancy and lactation.,"Hypersensitivity to cefditoren, other cephalosporins, or milk proteins. Carnitine deficiency or an inborn error of metabolism.",B,"For Pharyngitis, Tonsillitis, uncomplicated skin and skin structure infections for Adult:æ200 mg bid for 10 days. Community-acquired pneumonia Adult:æ400 mg bid for 14 days. Acute bacterial exacerbation of chronic bronchitis for Adult:æ400 mg bid for 10 days.",Should be taken with food.
cefetamet,Susceptible infections.,3rd GENERATION CEPHALOSPORIN,Tablet 500mg,"Diarrhoea, nausea, vomiting, hypersensitivity reactions.",Bacteriostatic antibiotics. Probenecid.,Hypersensitivity to penicillins. Renal insufficiency; lactation.,Known hypersensitivity to cephalosporins.,B,"For Ear, nose and/or throat infections, Otitis media, Sinusitis, Pharyngo-tonsillitis, Lower respiratory tract infections, Acute bacterial exacerbation of chronic bronchitis, Tracheobronchitis, Pneumonia, Urinary tract infections, Gonococcal urethritis in men, adult dose is 500 mg bid.",May be taken with or without food: May be taken w/ meals to reduce GI discomfort.
Cefixime,"Treatment of susceptible infections including gonorrhea, otitis media, pharyngitis, lower resp tract (eg bronchitis) & UTI.",3rd GENERATION CEPHALOSPORIN,"200 mg capsule, 400 mg tablet, 100mg and 200mg chewable tablet, 100mg/5ml, 200mg/5ml and 500mg/5ml orasl suspension","Diarrhea, stool changes; nausea, abdominal pain, dyspepsia, vomiting, flatulence. Pseudomembranous colitis. Headache, dizziness; rash, pruritus, urticaria, drug fever, arthralgia. Thrombocytopenia, leukopenia & eosinophilia.",Increased prothrombin time (w/ or w/o bleeding) w/ anticoagulants (e.g. warfarin). Increased plasma carbamazepine concentrations w/ concomitant use. Increased bioavailability w/ nifedipine. Increased serum concentration w/ probenecid.,Patient w/ history of penicillin allergy. Renal impairment. Childn. Pregnancy and lactation. ,"
Hypersensitivity to cefixime and other cephalosporins.",B,For Acute Bronchitis & Acute Exacerbations of Chronic Bronchitis: 400 mg/day PO in single daily dose or divided q12hr. For Otitis Media: 400 mg/day PO in single daily dose or divided q12hr. For Pharyngitis/Tonsillitis: 400 mg/day PO in single daily dose or divided q12hr.,Delayed absorption in the presence of food
cefmenoxime,Susceptible infections.,3rd GENERATION CEPHALOSPORIN,200 mg tablet,Nausea; vomiting; diarrhoea; hypersensitivity reactions; nephrotoxicity; convulsions; CNS toxicity; hepatic dysfunction; haematologic disorders; pain at Inj site (IM); thrombophloebitis (IV infusion); superinfection with prolonged use.Potentially Fatal: Pseudomembranous colitis.,Renal clearance reduced by probenecid. Disulfiram-like reactions with alcohol.,Hypersensitivity to penicillins; renal impairment; porphyria. Monitor renal and hematologic status. Pregnancy and lactation.,Hypersensitivity to cephalosporins.,B,"Susceptible infections of Adult:æ1-4 g daily IM/IV by Inj or infusion in 2-4 divided doses, up to 9 g daily for severe infections. for Child:æ40-80 mg/kg/day in 2-4 divided doses, higher doses may be used in severe infections. for Neonates: 40-60 mg/kg/day in 2-3 divided doses.",May take with or without food.
Cefodizime,Lower resp tract infections and UTI infections,3rd GENERATION CEPHALOSPORIN,Injection 1g,Nausea; vomiting; diarrhoea; hypersensitivity reactions; nephrotoxicity; convulsions; CNS toxicity; pseudomembranous colitis; hepatic dysfunction; haematologic disorders; pain at inj site (IM); thrombophloebitis (IV infusion); superinfection with prolonged use.,Renal clearance reduced by probenecid. Disulfiram-like reactions with alcohol.,"Hypersensitivity to penicillins; renal impairment; porphyria. Monitor renal and haematologic status. Pregnancy, lactation.",Hypersensitivity to cephalosporins.,B,"For Lower respiratory tract infections, Urinary tract infections
Adult:æ1-2 g every 12 or 24 hr via IM or IV infusion. Up to 4 g/day may be used in severe infections. For Gonorrhoea, Adult:æ0.25-0.5 g as a single dose given by IM or IV infusion.",May be taken with or without food.
Cefotaxime,"æSusceptible infectionsæ,æSepticaemia,æSurgical prophylaxis,Gonorrhoea.",3rd GENERATION CEPHALOSPORIN,"500mg, 1g, 2g and 10g powder for injection, 20mg/ml and 40mg/ml injectable solution","Rash (maculopapular or erythematous), pruritus, fever, eosinophilia; inflammation, phlebitis, thrombophlebitis (IV); pain, induration, tenderness at inj site (IM); anorexia, diarrhoea, nausea, vomiting, abdominal pain; transient neutropenia, granulocytopenia, leucopenia, eosinophilia or thrombocytopenia; transient increases in BUN and/or serum creatinine concentrations and interstitial nephritis; hepatitis, jaundice, cholestasis; transient increases in serum AST, ALT, LDH, _-GT, bilirubin, and alkaline phosphatase concentrations; headache, agitation, confusion, fatigue, nocturnal perspiration. Stevens-Johnson syndrome, toxic epidermal necrolysis, erythema multiforme.Potentially Fatal: Clostridium difficile-associated diarrhoea and colitis, arrhythmias, anaphylaxis.",Increased risk of nephrotoxicity w/ aminoglycosides. Increased serum concentration w/ probenecid. ,Patient w/ history of penicillin allergy and colitis. Renal impairment. Children. Pregnancy and lactation.,Hypersensitivity to cefotaxime or other cephalosporins.,B,"Fpr Prophylaxis of surgical infections, Adult:æ1 g 30-90 min before surgery by deep IM, slow IV inj over 3-5 min or IV infusion over 20-60 min. Caesarean section: 1 g IV as soon as the umbilical cord is clamped and 2 further IM or IV doses 6-12 hr later. For Septicaemia, Adult:æUp to 6-8 g daily in 3-4 divided doses by deep IM, slow IV inj over 3-5 min or IV infusion over 20-60 min.For Bone and joint infections, Central nervous system infections, Genitourinary infections, Gynaecological infections, Intra-abdominal infections, Respiratory tract infections, Skin and skin structure infections: Adult:æ1-2 g 8-12 hrly depending on the severity of the infection. May be given via deep IM inj, slow IV inj over 3-5 min or by IV infusion over 20-60 min. Max: 12 g daily. Child:æ0-1 wkæ50 mg/kg/dose 12 hrly IV inj;æ>1-4 wkæ50 mg/kg/dose 8 hrly IV inj;æ1 mth to 12 yræ<50 kg: 50-180 mg/kg IM or IV inj in 4-6 divided doses. For Gonorrhoea, Adult:æ0.5 or 1 g as a single dose by deep IM, slow IV inj over 3-5 min or IV infusion over 20-60 min.",May be taken with or without food
Cefpodoxime,"Resp tract infections; UTI,æSkin and soft tissue infections,æUncomplicated gonorrhoeaæ",3rd GENERATION CEPHALOSPORIN,"100mg and 200 mg tablet, 50mg/5ml and 100mg/5ml oral suspension","Diarrhoea, nausea, abdominal pain, vomiting, diaper and skin rash, headache, vag infection. Anxiety, chest pain, cough, decreased appetite, dizziness, dysgeusia, epistaxis, eye pruritus, fatigue, fever, flatulence, flushing, fungal skin infection, hypotension, insomnia, malaise, nightmares, pruritus, purpuric nephritis, tinnitus, weakness, xerostomia, vulvovaginal candidiasis. Potentially Fatal: Anaphylaxis, Clostridium difficile-associated diarrhoea and colitis.",Antacids or H2-blockers may decrease the absorption of cefpodoxime. Reduced renal excretion w/ probenecid. ,Patient w/ history of penicillin allergy. Renal impairment. Childn. Pregnancy and lactation.,Hypersensitivity to cefpodoxime or other cephalosporins.,B,"For Acute otitis media, Child:æ_15 daysæ4 mg/kg 12 hrly. Max: 200 mg daily. For skin and soft tissue infections:Adult:æ200-400 mg 12 hrly.Child:æ_15 daysæ4 mg/kg 12 hrly. Max: 200 mg daily.For Respiratory tract infections, Urinary tract infections,Adult:æ100-200 mg 12 hrly. Child:æ_15 daysæ4 mg/kg 12 hrly. Max: 200 mg daily. For Uncomplicated gonorrhoea, Adult:æ200 mg as a single dose.",Cefpodoxime levels may be increased w/ food.
